Shape,Area,MainArea,Age,TopSchool,Parking,Balcony,LowStruct,DisTrict,Money,Room,LivingRoom,Bathroom,Floor_min,Floor_max
電梯大樓,121.18,68.44,15.0,0.0,1.0,0.0,0.0,三民區,3600.0,3.0,2.0,3.0,12,29
透天厝,59.42,53.66,4.0,0.0,0.0,0.0,0.0,左營區,2150.0,4.0,2.0,4.0,All,4
電梯大樓,126.09,63.2,8.0,1.0,1.0,1.0,0.0,楠梓區,4990.0,5.0,2.0,4.0,14,28
公寓,26.44,20.35,42.0,0.0,0.0,0.0,1.0,三民區,498.0,3.0,2.0,1.0,5,5
電梯大樓,27.32,16.32,17.0,1.0,0.0,0.0,0.0,三民區,928.0,2.0,1.0,1.0,11,13
電梯大樓,43.14,24.16,30.0,1.0,1.0,1.0,0.0,三民區,888.0,3.0,2.0,2.0,2,12
透天厝,45.52,43.65,40.0,0.0,1.0,1.0,0.0,鼓山區,1580.0,5.0,2.0,3.0,All,4
電梯大樓,35.12,19.23,18.0,0.0,0.0,0.0,0.0,三民區,938.0,3.0,2.0,2.0,3,25
別墅,74.47,71.6,20.0,0.0,1.0,1.0,0.0,左營區,1798.0,5.0,2.0,5.0,All,4
電梯大樓,73.16,39.59,25.0,0.0,1.0,1.0,0.0,左營區,2480.0,6.0,2.0,2.0,12,12
電梯大樓,35.88,23.13,16.0,0.0,0.0,1.0,0.0,三民區,988.0,3.0,2.0,2.0,3,15
別墅,56.6,52.2,4.0,0.0,1.0,1.0,0.0,楠梓區,1680.0,5.0,2.0,3.0,All,4
電梯大樓,47.59,22.79,5.0,0.0,1.0,1.0,0.0,左營區,1398.0,3.0,2.0,2.0,9,19
電梯大樓,45.43,27.16,29.0,0.0,1.0,1.0,1.0,左營區,1238.0,4.0,2.0,2.0,4,20
電梯大樓,35.87,23.13,17.0,0.0,0.0,1.0,0.0,鼓山區,988.0,3.0,2.0,2.0,3,15
電梯大樓,135.24,64.0,0.1666666666666666,0.0,1.0,1.0,0.0,三民區,7988.0,6.0,3.0,4.0,13,33
電梯大樓,36.34,23.09,18.0,0.0,0.0,1.0,1.0,鳳山區,1450.0,3.0,2.0,2.0,2,15
